Total Population,Total Households,Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
7333,4195,4195,125,1230,435,415,865,325,210,585,5,4195,0,4195,765,3430
6624,3510,3510,15,30,70,510,990,1010,820,65,105,3330,75,3510,2140,1365
7446,2985,2985,25,0,15,135,455,555,730,1070,1380,1590,15,2985,1630,1355
1049,655,655,435,185,20,0,0,0,0,10,75,560,20,655,90,565
4630,1610,1610,705,690,95,65,15,0,0,40,485,1125,0,1610,645,970
3265,925,925,25,310,475,80,20,0,0,20,800,125,0,925,625,300
6810,2410,2410,100,850,595,750,70,20,10,10,1955,455,0,2410,2000,410
6917,2730,2730,125,950,660,300,195,245,140,110,1985,270,475,2730,2405,320
6742,3575,3575,585,1010,205,355,165,485,170,600,255,3245,75,3575,1325,2250
7331,2530,2530,0,15,0,40,125,1100,885,365,1845,685,0,2530,1945,585
7731,3330,3330,365,1185,630,320,155,195,250,230,2930,375,25,3330,2645,680
7209,2805,2805,110,1865,190,65,20,10,45,490,2405,380,20,2805,2240,560
5615,2080,2080,65,1340,540,80,10,0,15,15,1565,535,0,2080,1530,550
6614,2530,2530,75,1245,235,630,270,60,15,10,2505,30,0,2530,2345,190
6215,2400,2400,260,1275,415,300,65,55,0,25,785,1620,0,2400,1035,1365
2653,1135,1135,275,240,170,120,65,100,75,95,865,225,45,1135,835,300
5256,1680,1680,35,105,160,915,140,140,60,125,1485,165,30,1680,1405,275
2103,1185,1185,465,290,65,160,35,45,75,40,50,1160,0,1185,320,870
3156,1275,1275,205,365,210,205,70,100,80,35,990,180,105,1275,1085,190
2507,1100,1100,600,310,75,95,0,0,15,0,865,225,10,1100,815,285
2724,1715,1715,1040,430,115,55,35,25,0,15,125,1580,10,1715,225,1485
4003,1480,1480,260,240,280,185,290,70,30,135,1270,130,80,1480,1280,200
386,120,120,0,40,20,10,0,30,0,0,95,15,10,120,30,0
3553,1635,1635,970,300,90,65,35,30,55,95,750,870,15,1635,840,795
5132,2450,2450,60,885,210,700,120,110,85,280,1380,1050,20,2450,1325,1125
3953,1700,1700,550,360,160,175,115,135,135,75,655,1080,0,1700,935,770
2246,1090,1090,650,210,100,65,20,25,0,10,465,620,5,1090,540,545
1586,945,945,450,370,75,35,0,10,10,0,5,955,0,945,205,745
4181,1555,1555,20,140,565,470,160,55,55,95,1335,210,10,1555,1205,350
3633,1280,1280,0,0,0,15,35,510,640,65,1190,90,0,1280,1000,285
7422,2550,2550,15,10,0,20,25,455,1025,1000,1935,570,45,2550,1805,745
6093,1860,1860,0,0,25,900,780,95,55,0,1810,50,0,1860,1715,145
2221,740,740,35,80,80,245,95,85,50,70,620,95,25,740,600,145
2609,980,980,10,520,345,45,0,10,55,0,945,55,0,980,875,110
