Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
3088,1235,107000,1235,25,1130,50,15,10,10,0,0,1135,130,0,1235,1055,180
5889,1665,111000,1665,0,0,0,15,20,375,315,935,1605,50,10,1665,1365,300
8090,2775,105000,2775,105,150,240,1210,555,165,240,120,2375,400,0,2775,2360,420
4074,1775,65000,1775,210,1100,260,85,35,45,30,15,1265,275,235,1775,1375,400
3642,1385,101000,1385,10,190,1010,165,0,0,10,0,1035,325,25,1385,1250,140
3112,1145,100000,1145,0,760,300,55,0,10,0,15,1135,0,10,1145,960,185
4948,1830,83000,1830,1185,225,50,115,135,30,55,30,255,1595,0,1830,1030,805
4780,1880,96000,1880,535,570,200,340,60,45,45,85,1715,140,25,1880,1660,220
4088,1280,119000,1280,85,150,150,635,210,20,10,10,1065,210,5,1280,1070,205
3147,1205,49600,1205,630,295,50,175,15,0,0,25,385,820,0,1205,340,860
5353,1610,135000,1610,40,10,35,615,515,140,135,120,1595,5,10,1610,1520,85
8561,3045,100000,3045,20,65,50,25,20,325,1265,1270,2270,575,200,3045,2325,725
4221,1915,58400,1915,495,780,100,175,85,60,50,175,290,1620,5,1915,770,1145
4013,945,128000,945,0,0,10,30,260,560,65,20,870,60,15,945,835,105
2384,930,118000,930,470,45,105,150,30,35,30,75,630,305,0,930,795,135
